Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
193575:2593,758,41580255.9809,"[48-173], [176-349], [351-394], [397-415], [417-658], [660-752]",40017786.2848
193621:2596,1731,94600780.6941,"[60-570], [573-769], [772-976], [979-1053], [1056-1137], [1139-1193], [1195-1371], [1373-1654]",89650978.8336
193834:2605,45,1277650.19059,[1-35],988110.321371
193835:2605,34,939833.661807,"[1-20], [22-26]",648552.389714
193836:2605,75,1130206.31104,[1-2],53584.9535238
193998:2616,302,23363661.1787,"[66-113], [115-278]",19187246.835
193999:2616,67,3643254.92135,[1-50],3610413.45585
194027:2617,136,7154907.30596,[53-115],5496663.09896
194050:2621,1902,115411760.505,"[53-113], [116-273], [275-355], [357-369], [372-391], [394-490], [492-814], [816-1435], [1437-1735], [1760-1888]",110375791.691
194051:2621,22,916326.407801,[1-12],489219.73018
194052:2621,193,6937614.3433,"[1-99], [102-166]",6582275.43209
194075:2623,120,7819432.97001,"[48-101], [103-111]",4910176.21762
194076:2623,780,56246577.1989,"[1-9], [11-55], [58-163], [165-228], [230-264], [267-507], [509-527], [530-538], [541-562], [565-748]",54111184.1438
194108:2624,888,64600915.6292,"[81-161], [164-264], [266-373], [376-396], [398-433], [436-452], [454-577], [579-590], [593-668], [671-875]",61653645.0169
194115:2627,865,63382459.8866,"[66-184], [186-338], [340-346], [348-493], [496-857]",58991781.8081
194117:2627,50,3042282.76566,[1-38],2276693.34267
194119:2627,275,15658857.2437,"[1-229], [232-261]",14693089.9482
194120:2627,427,20045918.6907,"[1-162], [165-406]",19261502.0223
194150:2628,491,44809576.675,"[42-127], [129-261], [264-311]",26671184.5956
194151:2628,636,46542365.8837,"[47-72], [75-191], [193-238], [240-619], [621-624], [627-627]",40785513.306
194153:2628,185,7075192.78393,[1-119],6994022.65519
194199:2629,424,31411086.5587,"[92-227], [229-336], [339-402]",27227908.2655
194210:2629,582,40375553.5566,"[3-195], [198-217], [220-359], [361-555]",38922386.7362
194223:2630,125,8871495.20887,"[9-51], [61-112]",6160046.30595
194224:2630,424,44906622.2826,"[1-126], [129-206], [208-250], [253-309], [312-386], [389-412]",42181410.7909
194225:2630,188,13322242.439,"[1-23], [26-47], [49-85], [88-156], [177-178]",12739102.936
194270:2632,83,3691489.49284,[56-73],1428394.4522
194303:2634,110,7304987.21146,"[56-66], [69-102]",5054254.6265
194304:2634,62,6907281.35395,"[1-43], [46-46]",4798082.85227
194305:2634,98,8764725.32505,[1-86],8577455.45382
194314:2635,322,32073595.9295,"[52-130], [133-301]",28126670.0835
194315:2635,498,45377294.5297,"[1-10], [13-314], [317-428], [431-452], [455-467]",41671301.2389
194317:2635,51,1543233.5244,[1-33],1465779.20499
194424:2644,724,71815338.7896,"[63-141], [144-195], [198-266], [268-421], [424-478], [481-531], [534-553], [556-708]",66671072.8115
194428:2644,572,44074831.0921,"[1-85], [87-122], [125-294], [296-465]",35987852.4075
194429:2644,1038,57216430.8167,"[1-4], [7-54], [57-147], [150-411], [413-742], [745-986], [988-1023]",56204750.8479
194439:2645,123,10390991.1014,"[46-77], [79-106]",7775925.24822
194455:2646,314,34705343.6172,"[45-64], [67-140], [142-255], [293-303]",27076274.8242
194464:2646,222,23893349.9094,"[1-127], [130-142], [145-210]",21853338.0337
194479:2646,577,50307700.913,"[1-44], [165-232], [235-262], [265-374], [377-431], [434-489], [492-529], [531-566]",36719634.5833
194480:2646,1436,82985979.0996,"[1-8], [17-32], [34-205], [207-375], [377-387], [389-759], [762-956], [959-1402]",81025605.0184
194533:2648,876,79740477.9055,"[46-379], [382-415], [417-618], [620-872]",76611252.1354
194619:2649,156,19451960.3904,[31-110],9916392.56317
194643:2649,302,29265342.0575,[1-287],27441391.9286
194644:2649,453,33991919.5489,"[1-168], [171-181], [184-185], [187-319], [321-424]",33217630.3506
194691:2651,419,44012735.4489,"[61-104], [107-155], [158-251], [254-268], [271-272], [275-289], [292-313]",28157936.2387
194699:2651,271,25035212.0269,"[1-30], [32-52], [55-64], [67-71], [73-154], [157-215], [218-238], [241-259]",22555287.0303
194702:2651,205,16967619.4627,"[1-138], [141-191]",15524906.752
194704:2651,635,44217444.3896,"[1-41], [44-545], [548-592]",40875043.2042
194711:2651,629,35032111.5015,"[1-7], [9-619]",34172799.2196
194712:2651,781,34610608.6517,"[1-56], [61-418], [420-625], [627-759]",33838525.9814
194735:2653,152,12152518.8784,"[44-71], [74-101], [104-130], [133-136]",9926264.33474
194778:2657,230,22669823.9222,"[60-118], [120-219]",18833803.9639
194789:2657,601,56953233.6809,"[1-18], [21-32], [34-80], [82-166], [168-269], [272-405], [409-414], [417-427], [430-566]",52078963.2161
194790:2657,66,4978150.66211,[1-45],3538330.63736
194825:2658,291,27264429.3622,"[72-117], [120-221]",18741567.4827
194896:2660,113,14388194.3537,"[34-55], [58-79], [82-103]",8553171.83748
194897:2660,118,13010838.1674,"[1-6], [8-78], [80-107]",12299378.1267
194912:2663,1670,159882085.058,"[53-70], [72-96], [98-444], [446-450], [453-467], [470-561], [564-660], [663-813], [815-840], [843-864], [866-1004], [1007-1025], [1027-1067], [1069-1137], [1140-1166], [1168-1249], [1251-1304], [1307-1444], [1447-1487], [1489-1503], [1506-1662]",151941965.651
194914:2663,47,3055467.74577,[1-38],2438480.67275
194915:2663,91,5015964.31671,[1-74],4623525.53655
195013:2669,566,66127491.9041,"[94-144], [146-185], [187-206], [208-299], [302-324], [326-366], [369-447], [450-526], [528-541]",54755789.2546
195014:2669,169,18029986.1293,"[1-6], [9-119], [121-148]",15376735.8043
195015:2669,30,3034312.30982,[1-13],1199783.6957
195016:2669,584,50254937.3702,"[1-21], [23-55], [58-63], [65-174], [177-184], [186-241], [243-246], [248-367], [370-422], [425-569]",48555636.0445
195099:2670,299,28710807.8969,"[70-144], [147-186], [189-208], [211-224], [227-265]",23782837.3019
195109:2671,358,39109681.6707,[98-241],19596019.2414
195112:2671,33,3919702.44839,"[1-12], [15-26]",2451466.0585
195113:2671,589,59947471.6258,"[1-209], [212-388], [391-403], [406-419], [422-492], [495-579]",57159250.5735
195114:2671,111,9553407.13978,"[1-69], [72-103]",8557825.34553
195115:2671,47,1790646.1883,"[1-7], [10-36]",1605128.78449
195147:2673,578,56117777.4516,"[132-282], [285-294], [297-331], [334-363], [366-442], [445-536], [539-562]",52407730.2334
195163:2675,352,40689933.4156,"[72-138], [140-224], [227-240], [243-243], [246-347]",35765999.2211
195164:2675,68,8440510.1824,[1-64],7780368.83216
195165:2675,288,29950722.6953,"[1-4], [7-41], [44-54], [56-153], [156-260], [263-277]",28432363.1678
195251:2683,289,32185458.4926,"[1-131], [134-137], [140-152], [154-165], [167-249]",30541422.6922
195303:2686,413,42717978.5376,"[109-191], [194-277], [280-310], [312-316], [318-409]",37826362.1557
195304:2686,1281,111511606.207,"[1-3], [6-22], [27-80], [83-100], [103-154], [157-341], [344-588], [590-727], [729-1003], [1006-1079], [1083-1140], [1143-1229]",107733274.286
195378:2691,1304,119036820.144,"[90-117], [120-127], [130-185], [187-204], [206-302], [305-542], [544-565], [567-645], [647-701], [703-734], [737-1120], [1122-1133]",99606519.8103
195390:2691,419,20864834.4483,"[1-1], [4-27], [30-145], [147-183], [186-187], [190-208], [210-213], [215-410]",20150872.1304
195396:2692,147,14867120.9701,"[49-55], [58-63], [66-131]",10674874.7672
195397:2692,1219,121653169.042,"[1-10], [12-89], [92-120], [123-141], [143-251], [253-253], [256-475], [478-525], [527-608], [611-776], [779-970], [972-1121], [1123-1181], [1184-1198], [1200-1209]",117194377.374
195398:2692,1803,93478511.0804,"[3-137], [139-494], [497-585], [587-817], [820-824], [827-1225], [1228-1307], [1309-1712], [1721-1736], [1741-1752], [1767-1795]",90656834.3279
195399:2692,434,13522673.3866,"[1-192], [194-382], [384-394]",13348709.3618
195530:2698,597,66709372.5564,"[1-80], [82-104], [107-156], [159-300], [302-405]",46294339.06
195540:2700,335,34776137.0926,"[121-123], [126-137], [140-283], [286-323]",24587069.2084
195551:2701,112,4848105.29582,[91-106],1996457.17247
